MetadataComponentType,MetadataComponentName,RefMetadataComponentType,RefMetadataComponentName
ApexClass,AgentforceHomepageController,Document,Document
ApexClass,AgentforceHomepageControllerTest,ApexClass,AgentforceHomepageController
ApexClass,DemoProjectUtils,CustomField,Demo_Status
ApexClass,DemoProjectUtils,CustomObject,Demo_Project
ApexClass,DemoProjectUtilsTest,CustomField,Demo_Status
ApexClass,DemoProjectUtilsTest,CustomObject,Demo_Project
ApexClass,DemoProjectUtilsTest,ApexClass,DemoProjectUtils
ApexClass,DemoTaskController,CustomField,Demo_Status
ApexClass,DemoTaskController,CustomObject,Demo_Task
ApexClass,DemoTaskControllerTest,CustomField,Demo_Status
ApexClass,DemoTaskControllerTest,CustomObject,Demo_Task
ApexClass,DemoTaskControllerTest,ApexClass,DemoTaskController
ApexClass,DemoTaskTriggerHandler,CustomObject,Demo_Task
ApexClass,DemoTaskTriggerHandler,ApexClass,DemoTaskHelper
ApexClass,DemoTaskHelper,CustomField,Demo_Status
ApexClass,DemoTaskHelper,CustomObject,Demo_Task
ApexClass,DemoTaskTriggerTest,CustomField,Demo_Status
ApexClass,DemoTaskTriggerTest,CustomObject,Demo_Task
ApexTrigger,DemoTaskTrigger,CustomObject,Demo_Task
ApexTrigger,DemoTaskTrigger,ApexClass,DemoTaskTriggerHandler
CustomApplication,Subscription Management,FlexiPage,RevenueCloudConsole_UtilityBar
CustomApplication,ContactCenter,FlexiPage,ContactCenter_UtilityBar
CustomApplication,CrisisCenter,FlexiPage,CrisisCenter_UtilityBar
CustomApplication,Sales,FlexiPage,LightningSales_UtilityBar
CustomApplication,Get_Started_with_Agentforce,FlexiPage,Get_Started_with_Agentforce_UtilityBar
CustomApplication,FlowsApp,FlexiPage,FlowsApp_UtilityBar
CustomApplication,Demo_Project_Tracker,FlexiPage,Demo_Project_Tracker_UtilityBar
Flow,Demo Project Flow,CustomObject,Demo_Project
Flow,Demo Task Assignee Notifier,CustomField,Demo_AssignedTo
Flow,Demo Task Assignee Notifier,CustomObject,Demo_Task
Flow,Demo_Project_Flow-1,ApexClass,DemoProjectUtils
LightningComponentBundle,agentforceHomepage,ApexClass,AgentforceHomepageController
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Welcome_Title
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Hero_Desc
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Hero_Desc_Cont
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Launch_Action
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Launch_Description
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Launch_Title
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Learn_Action
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Learn_Description
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Learn_Title
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Practice_Action
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Practice_Description
LightningComponentBundle,agentforceHomepage,CustomLabel,Agentforce_Practice_Title
LightningComponentBundle,demoTaskList,ApexClass,DemoTaskController
