MetadataType,ComponentName,Namespace,LastModifiedDate
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:42.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:50.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:44:01.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:44:05.000Z
InstalledPackage,cdpactvstrgptnr,cdpactvstrgptnr,2025-04-09T09:55:35.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:57.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:47.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:44:00.000Z
InstalledPackage,ssot,ssot,2025-04-09T10:16:19.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:44.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:46.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:44:03.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:41.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:52.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:58.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:55.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:44:04.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:53.000Z
InstalledPackage,sf_com_apps,sf_com_apps,2025-04-26T12:43:49.000Z
CustomLabels,CustomLabels,,1970-01-01T00:00:00.000Z
LightningComponentBundle,demoTaskList,,2025-04-26T08:07:18.000Z
LightningComponentBundle,agentforceHomepage,,2025-04-09T09:39:34.000Z
LightningComponentBundle,demoProjectTile,,2025-04-26T07:25:02.000Z
DataSource,SFDC_00DgL0000021AMw,,2025-04-09T09:55:18.000Z
Role,DirectorChannelSales,,2025-04-09T09:39:34.000Z
Role,VPNorthAmericanSales,,2025-04-09T09:39:34.000Z
Role,VPMarketing,,2025-04-09T09:39:34.000Z
